All calculations,Terminal
15.083333,0.996297
15.093333,0.996303
15.103333,0.996308
15.113333,0.996314
15.123333,0.996319
15.133333,0.996325
15.143333,0.996331
15.153333,0.996336
15.163333,0.996342
15.173333,0.996347
15.183333,0.996352
15.193333,0.996358
15.203333,0.996363
15.213333,0.996369
15.223333,0.996374
15.233333,0.996379
15.243333,0.996385
15.253333,0.99639
15.263333,0.996395
15.273333,0.996401
15.283333,0.996406
15.293333,0.996411
15.303333,0.996416
15.313333,0.996421
15.323333,0.996427
15.333333,0.996432
15.343333,0.996437
15.353333,0.996442
15.363333,0.996447
15.373333,0.996452
15.383333,0.996457
15.393333,0.996462
15.403333,0.996467
15.413333,0.996472
15.423333,0.996476
15.433333,0.996481
15.443333,0.996486
15.453333,0.996491
15.463333,0.996496
15.473333,0.996501
15.483333,0.996505
15.493333,0.99651
15.503333,0.996515
15.513333,0.996519
15.523333,0.996524
15.533333,0.996528
15.543333,0.996533
15.553333,0.996538
15.563333,0.996542
15.573333,0.996547
15.583333,0.996551
15.593333,0.996555
15.603333,0.99656
15.613333,0.996564
15.623333,0.996569
15.633333,0.996573
15.643333,0.996577
15.653333,0.996581
15.663333,0.996586
15.673333,0.99659
15.683333,0.996594
15.693333,0.996598
15.703333,0.996602
15.713333,0.996606
15.723333,0.99661
15.733333,0.996614
15.743333,0.996618
15.753333,0.996622
15.763333,0.996626
15.773333,0.99663
15.783333,0.996634
15.793333,0.996638
15.803333,0.996642
15.813333,0.996646
15.823333,0.996649
15.833333,0.996653
15.843333,0.996657
15.853333,0.99666
15.863333,0.996664
15.873333,0.996668
15.883333,0.996671
15.893333,0.996675
15.903333,0.996678
15.913333,0.996682
15.923333,0.996685
15.933333,0.996689
15.943333,0.996692
15.953333,0.996696
15.963333,0.996699
15.973333,0.996702
15.983333,0.996706
15.993333,0.996709
16.003333,0.996712
16.013333,0.996715
16.023333,0.996718
16.033333,0.996721
16.043333,0.996725
16.053333,0.996728
16.063333,0.996731
16.073333,0.996734
16.083333,0.996737
16.093333,0.99674
16.103333,0.996743
16.113333,0.996745
16.123333,0.996748
16.133333,0.996751
16.143333,0.996754
16.153333,0.996757
16.163333,0.996759
16.173333,0.996762
16.183333,0.996765
16.193333,0.996768
16.203333,0.99677
16.213333,0.996773
16.223333,0.996775
16.233333,0.996778
16.243333,0.99678
16.253333,0.996783
16.263333,0.996785
16.273333,0.996788
16.283333,0.99679
16.293333,0.996792
16.303333,0.996795
16.313333,0.996797
16.323333,0.996799
16.333333,0.996802
